Round,Accuracy,Precision,Recall,F1,ConfusionMatrix
1,0.7047,0.7080,0.7045,0.7010,"[[1889, 82, 299], [501, 1310, 447], [318, 380, 1638]]"
2,0.7637,0.7666,0.7636,0.7621,"[[1944, 65, 261], [432, 1526, 300], [241, 323, 1772]]"
3,0.7845,0.7859,0.7843,0.7839,"[[1905, 75, 290], [329, 1628, 301], [171, 313, 1852]]"
4,0.7997,0.8021,0.7994,0.7999,"[[1864, 87, 319], [241, 1711, 306], [121, 301, 1914]]"
5,0.8003,0.8039,0.8005,0.8012,"[[1821, 159, 290], [150, 1855, 253], [99, 420, 1817]]"
6,0.8033,0.8074,0.8035,0.8043,"[[1817, 165, 288], [140, 1862, 256], [95, 406, 1835]]"
7,0.8048,0.8106,0.8052,0.8059,"[[1820, 187, 263], [115, 1916, 227], [91, 457, 1788]]"
8,0.8103,0.8151,0.8106,0.8114,"[[1834, 174, 262], [117, 1901, 240], [90, 419, 1827]]"
